,true_effects,standard_errors,treatment_effect,costs,X
0,-0.0040892428881889,0.0145239989700541,-7.675738605818737e-05,0.00180718739476295,-1.0
1,0.0057772871345662,0.0182346810654938,-0.02804126437757992,0.00180718739476295,-1.0
2,0.01140723432125,0.0193883770397331,0.02350366430315389,0.00180718739476295,1.0
3,0.0296461383677386,0.0211934905602002,0.053919282371775415,0.00180718739476295,-1.0
4,0.0046336305107569,0.0167766004465757,0.022034160583212857,0.00180718739476295,1.0
5,0.0034907583811181,0.0219409301736138,0.04488537140227783,0.00180718739476295,1.0
6,0.0159871643453179,0.0354644341692648,0.012025847688226832,0.00180718739476295,1.0
7,0.0102254806082887,0.0382337305168671,-0.00361900438385742,0.00180718739476295,1.0
8,0.0007503497280279,0.0298786304187356,0.005192556451423611,0.00180718739476295,1.0
9,0.0121813904410557,0.0302112430467331,-0.0010445827813288806,0.00180718739476295,-1.0
10,-0.0007831012938127,0.0210343478431247,0.04488787364856057,0.00180718739476295,1.0
11,0.001549127986208,0.0111354647321553,0.014380638142528735,0.00180718739476295,-1.0
12,-0.000108431822628,0.0103674157786474,-0.018964815567514736,0.00180718739476295,1.0
13,-0.0001932469483439,0.0193111087006534,-0.002859132775544882,0.00180718739476295,-1.0
14,-0.0012986915789989,0.0144729700443902,0.0065143909811384015,0.00180718739476295,-1.0
15,0.0038881299754613,0.0361995743773779,-0.0603763332175571,0.00180718739476295,-1.0
16,0.0036295839897667,0.0219496141256794,0.032490616575250854,0.00180718739476295,1.0
17,-4.579441842880142e-05,0.0183893813252323,-0.008752211093760103,0.00180718739476295,-1.0
18,-0.0040418829363489,0.022717604386466,-0.028854729720138132,0.00180718739476295,-1.0
19,0.0006600918301833,0.0245301784028495,-0.005473125921251795,0.00180718739476295,-1.0
20,0.0041138119891416,0.0208244967968254,-0.016341972589349038,0.00180718739476295,-1.0
21,-0.0002175603406927,0.0128874552819819,0.013072873972321668,0.00180718739476295,-1.0
22,-0.0028418133003535,0.0189083710230206,0.006448508023210737,0.00180718739476295,1.0
23,0.001440140533849,0.0146503361693773,-0.005103382366633596,0.00180718739476295,1.0
24,0.0078651349286709,0.0370739518352662,-0.022029819909798482,0.00180718739476295,1.0
25,-0.0004337237330742,0.0137887155644398,0.0013762900495053357,0.00180718739476295,-1.0
26,0.0011088780940194,0.0260432059243325,-0.03047007788986514,0.00180718739476295,1.0
27,-0.0044686183200313,0.0204010138937522,-0.0012046426950859022,0.00180718739476295,-1.0
28,-0.002995110508285,0.0218683451805291,-0.01951058853983814,0.00180718739476295,1.0
29,0.0023984146584109,0.0305834409895156,0.013099438095118775,0.00180718739476295,1.0
30,0.0277988402581549,0.0148550371524919,0.04232025948527139,0.00180718739476295,-1.0
31,-0.0090275357159819,0.0206762583640173,-0.011892960147032193,0.00180718739476295,-1.0
32,-0.0065007466889576,0.0174201621168986,-0.004691553016530564,0.00180718739476295,-1.0
33,0.0069029181856577,0.0153697477386256,0.011522926582433923,0.00180718739476295,1.0
34,0.0083646932985691,0.0159478335330845,0.023805470178760186,0.00180718739476295,1.0
35,-0.0005089079569466,0.016027446463222,0.013428941614653099,0.00180718739476295,1.0
